dataset,sub,ses,sample,task,tracksys,acq,nuc,voi,ce,trc,stain,rec,dir,run,mod,echo,flip,inv,mt,part,proc,hemi,space,split,recording,chunk,seg,res,den,label,desc,datatype,suffix,ext,extra_entities,root,path
site-1/sub-A00040524/output/pipeline_cpac-default-pipeline,A00040524,NFB3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,linear,output,xfm,.nii.gz,"[('from', 'MNI152NLin6ASym'), ('to', 'T1w'), ('mode', 'image')]",/ocean/projects/med250004p/shared/regression_outputs_v1.8.7/default/site-1/sub-A00040524/output/pipeline_cpac-default-pipeline,sub-A00040524/ses-NFB3/anat/sub-A00040524_ses-NFB3_from-MNI152NLin6ASym_to-T1w_mode-image_desc-linear_xfm.nii.gz
site-1/sub-A00040524/output/pipeline_cpac-default-pipeline,A00040524,NFB3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,output,xfm,.nii.gz,"[('from', 'T1w'), ('to', 'MNI152NLin6ASym'), ('mode', 'image')]",/ocean/projects/med250004p/shared/regression_outputs_v1.8.7/default/site-1/sub-A00040524/output/pipeline_cpac-default-pipeline,sub-A00040524/ses-NFB3/anat/sub-A00040524_ses-NFB3_from-T1w_to-MNI152NLin6ASym_mode-image_xfm.nii.gz
site-1/sub-A00040524/output/pipeline_cpac-default-pipeline,A00040524,NFB3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nonlinear,output,xfm,.nii.gz,"[('from', 'MNI152NLin6ASym'), ('to', 'T1w'), ('mode', 'image')]",/ocean/projects/med250004p/shared/regression_outputs_v1.8.7/default/site-1/sub-A00040524/output/pipeline_cpac-default-pipeline,sub-A00040524/ses-NFB3/anat/sub-A00040524_ses-NFB3_from-MNI152NLin6ASym_to-T1w_mode-image_desc-nonlinear_xfm.nii.gz
site-1/sub-A00040524/output/pipeline_cpac-default-pipeline,A00040524,NFB3,,,,,,,,,,,,,,,,,,,,,,,,,,,,GM,preproc,output,mask,.nii.gz,[],/ocean/projects/med250004p/shared/regression_outputs_v1.8.7/default/site-1/sub-A00040524/output/pipeline_cpac-default-pipeline,sub-A00040524/ses-NFB3/anat/sub-A00040524_ses-NFB3_label-GM_desc-preproc_mask.nii.gz
site-1/sub-A00040524/output/pipeline_cpac-default-pipeline,A00040524,NFB3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,linear,output,xfm,.nii.gz,"[('from', 'MNI152NLin6Sym'), ('to', 'T1w'), ('mode', 'image')]",/ocean/projects/med250004p/shared/regression_outputs_v1.8.7/default/site-1/sub-A00040524/output/pipeline_cpac-default-pipeline,sub-A00040524/ses-NFB3/anat/sub-A00040524_ses-NFB3_from-MNI152NLin6Sym_to-T1w_mode-image_desc-linear_xfm.nii.gz
site-1/sub-A00040524/output/pipeline_cpac-default-pipeline,A00040524,NFB3,,,,,,,,,,,,,,,,,,,,,MNI152NLin6ASym,,,,,,,,head,output,T1w,.nii.gz,[],/ocean/projects/med250004p/shared/regression_outputs_v1.8.7/default/site-1/sub-A00040524/output/pipeline_cpac-default-pipeline,sub-A00040524/ses-NFB3/anat/sub-A00040524_ses-NFB3_space-MNI152NLin6ASym_desc-head_T1w.nii.gz
site-1/sub-A00040524/output/pipeline_cpac-default-pipeline,A00040524,NFB3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,linear,output,xfm,.nii.gz,"[('from', 'T1w'), ('to', 'MNI152NLin6Sym'), ('mode', 'image')]",/ocean/projects/med250004p/shared/regression_outputs_v1.8.7/default/site-1/sub-A00040524/output/pipeline_cpac-default-pipeline,sub-A00040524/ses-NFB3/anat/sub-A00040524_ses-NFB3_from-T1w_to-MNI152NLin6Sym_mode-image_desc-linear_xfm.nii.gz
site-1/sub-A00040524/output/pipeline_cpac-default-pipeline,A00040524,NFB3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,output,xfm,.nii.gz,"[('from', 'T1w'), ('to', 'MNI152NLin6Sym'), ('mode', 'image')]",/ocean/projects/med250004p/shared/regression_outputs_v1.8.7/default/site-1/sub-A00040524/output/pipeline_cpac-default-pipeline,sub-A00040524/ses-NFB3/anat/sub-A00040524_ses-NFB3_from-T1w_to-MNI152NLin6Sym_mode-image_xfm.nii.gz
site-1/sub-A00040524/output/pipeline_cpac-default-pipeline,A00040524,NFB3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,output,xfm,.nii.gz,"[('from', 'MNI152NLin6ASym'), ('to', 'T1w'), ('mode', 'image')]",/ocean/projects/med250004p/shared/regression_outputs_v1.8.7/default/site-1/sub-A00040524/output/pipeline_cpac-default-pipeline,sub-A00040524/ses-NFB3/anat/sub-A00040524_ses-NFB3_from-MNI152NLin6ASym_to-T1w_mode-image_xfm.nii.gz
site-1/sub-A00040524/output/pipeline_cpac-default-pipeline,A00040524,NFB3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,dsegAxial,output,quality,.png,[],/ocean/projects/med250004p/shared/regression_outputs_v1.8.7/default/site-1/sub-A00040524/output/pipeline_cpac-default-pipeline,sub-A00040524/ses-NFB3/anat/sub-A00040524_ses-NFB3_desc-dsegAxial_quality.png
site-1/sub-A00040524/output/pipeline_cpac-default-pipeline,A00040524,NFB3,,,,,,,,,,,,,,,,,,,,,,,,,,,,CSF,,output,mask,.nii.gz,[],/ocean/projects/med250004p/shared/regression_outputs_v1.8.7/default/site-1/sub-A00040524/output/pipeline_cpac-default-pipeline,sub-A00040524/ses-NFB3/anat/sub-A00040524_ses-NFB3_label-CSF_mask.nii.gz
site-1/sub-A00040524/output/pipeline_cpac-default-pipeline,A00040524,NFB3,,,,,,,,,,,,,,,,,,,,,,,,,,,,WM,preproc,output,mask,.nii.gz,[],/ocean/projects/med250004p/shared/regression_outputs_v1.8.7/default/site-1/sub-A00040524/output/pipeline_cpac-default-pipeline,sub-A00040524/ses-NFB3/anat/sub-A00040524_ses-NFB3_label-WM_desc-preproc_mask.nii.gz
site-1/sub-A00040524/output/pipeline_cpac-default-pipeline,A00040524,NFB3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,linear,output,xfm,.nii.gz,"[('from', 'T1w'), ('to', 'MNI152NLin6ASym'), ('mode', 'image')]",/ocean/projects/med250004p/shared/regression_outputs_v1.8.7/default/site-1/sub-A00040524/output/pipeline_cpac-default-pipeline,sub-A00040524/ses-NFB3/anat/sub-A00040524_ses-NFB3_from-T1w_to-MNI152NLin6ASym_mode-image_desc-linear_xfm.nii.gz
site-1/sub-A00040524/output/pipeline_cpac-default-pipeline,A00040524,NFB3,,,,,,,,,,,,,,,,,,,,,MNI152NLin6ASym,,,,,,,,brain,output,mask,.nii.gz,[],/ocean/projects/med250004p/shared/regression_outputs_v1.8.7/default/site-1/sub-A00040524/output/pipeline_cpac-default-pipeline,sub-A00040524/ses-NFB3/anat/sub-A00040524_ses-NFB3_space-MNI152NLin6ASym_desc-brain_mask.nii.gz
site-1/sub-A00040524/output/pipeline_cpac-default-pipeline,A00040524,NFB3,,,,,,,,,,,,,,,,,,,,,,,,,,,,GM,,output,probseg,.nii.gz,[],/ocean/projects/med250004p/shared/regression_outputs_v1.8.7/default/site-1/sub-A00040524/output/pipeline_cpac-default-pipeline,sub-A00040524/ses-NFB3/anat/sub-A00040524_ses-NFB3_label-GM_probseg.nii.gz
site-1/sub-A00040524/output/pipeline_cpac-default-pipeline,A00040524,NFB3,,,,,,,,,,,,,,,,,,,,,MNI152NLin6ASym,,,,,,,WM,,output,mask,.nii.gz,[],/ocean/projects/med250004p/shared/regression_outputs_v1.8.7/default/site-1/sub-A00040524/output/pipeline_cpac-default-pipeline,sub-A00040524/ses-NFB3/anat/sub-A00040524_ses-NFB3_space-MNI152NLin6ASym_label-WM_mask.nii.gz
site-1/sub-A00040524/output/pipeline_cpac-default-pipeline,A00040524,NFB3,,,,,,,,,,,,,,,,,,,,,MNI152NLin6ASym,,,,,,,CSF,,output,mask,.nii.gz,[],/ocean/projects/med250004p/shared/regression_outputs_v1.8.7/default/site-1/sub-A00040524/output/pipeline_cpac-default-pipeline,sub-A00040524/ses-NFB3/anat/sub-A00040524_ses-NFB3_space-MNI152NLin6ASym_label-CSF_mask.nii.gz
site-1/sub-A00040524/output/pipeline_cpac-default-pipeline,A00040524,NFB3,,,,,,,,,,,,,,,,,,,,,MNI152NLin6ASym,,,,,,,GM,,output,mask,.nii.gz,[],/ocean/projects/med250004p/shared/regression_outputs_v1.8.7/default/site-1/sub-A00040524/output/pipeline_cpac-default-pipeline,sub-A00040524/ses-NFB3/anat/sub-A00040524_ses-NFB3_space-MNI152NLin6ASym_label-GM_mask.nii.gz
site-1/sub-A00040524/output/pipeline_cpac-default-pipeline,A00040524,NFB3,,,,,,,,,,,,,,,,,,,,,,,,,,,,WM,,output,probseg,.nii.gz,[],/ocean/projects/med250004p/shared/regression_outputs_v1.8.7/default/site-1/sub-A00040524/output/pipeline_cpac-default-pipeline,sub-A00040524/ses-NFB3/anat/sub-A00040524_ses-NFB3_label-WM_probseg.nii.gz
site-1/sub-A00040524/output/pipeline_cpac-default-pipeline,A00040524,NFB3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,dsegSagittal,output,quality,.png,[],/ocean/projects/med250004p/shared/regression_outputs_v1.8.7/default/site-1/sub-A00040524/output/pipeline_cpac-default-pipeline,sub-A00040524/ses-NFB3/anat/sub-A00040524_ses-NFB3_desc-dsegSagittal_quality.png
site-1/sub-A00040524/output/pipeline_cpac-default-pipeline,A00040524,NFB3,,,,,,,,,,,,,,,,,,,,,,,,,,,,CSF,preproc,output,mask,.nii.gz,[],/ocean/projects/med250004p/shared/regression_outputs_v1.8.7/default/site-1/sub-A00040524/output/pipeline_cpac-default-pipeline,sub-A00040524/ses-NFB3/anat/sub-A00040524_ses-NFB3_label-CSF_desc-preproc_mask.nii.gz
site-1/sub-A00040524/output/pipeline_cpac-default-pipeline,A00040524,NFB3,,PEER1,,,,,,,,,,,,,,,,,,,MNI152NLin6ASym,,,,,,,,ndmg,output,correlations,.csv,"[('atlas', 'CAPRSC'), ('reg', 'default')]",/ocean/projects/med250004p/shared/regression_outputs_v1.8.7/default/site-1/sub-A00040524/output/pipeline_cpac-default-pipeline,sub-A00040524/ses-NFB3/func/sub-A00040524_ses-NFB3_task-PEER1_atlas-CAPRSC_space-MNI152NLin6ASym_reg-default_desc-ndmg_correlations.csv
site-1/sub-A00040524/output/pipeline_cpac-default-pipeline,A00040524,NFB3,,PEER1,,,,,,,,,,,,,,,,,,,MNI152NLin6ASym,,,,,,,,PartialNilearn,output,correlations,.tsv,"[('atlas', 'AAL'), ('reg', 'default')]",/ocean/projects/med250004p/shared/regression_outputs_v1.8.7/default/site-1/sub-A00040524/output/pipeline_cpac-default-pipeline,sub-A00040524/ses-NFB3/func/sub-A00040524_ses-NFB3_task-PEER1_atlas-AAL_space-MNI152NLin6ASym_reg-default_desc-PartialNilearn_correlations.tsv
site-1/sub-A00040524/output/pipeline_cpac-default-pipeline,A00040524,NFB3,,MORALDILEMMA,,,,,,,,,,,,,,,,,,,MNI152NLin6ASym,,,,,,,,PearsonNilearn,output,correlations,.tsv,"[('atlas', 'rois'), ('reg', 'defaultNoGSR')]",/ocean/projects/med250004p/shared/regression_outputs_v1.8.7/default/site-1/sub-A00040524/output/pipeline_cpac-default-pipeline,sub-A00040524/ses-NFB3/func/sub-A00040524_ses-NFB3_task-MORALDILEMMA_atlas-rois_space-MNI152NLin6ASym_reg-defaultNoGSR_desc-PearsonNilearn_correlations.tsv
site-1/sub-A00040524/output/pipeline_cpac-default-pipeline,A00040524,NFB3,,PEER1,,,,,,,,,,,,,,,,,,,MNI152NLin6ASym,,,,,,,,PearsonNilearn,output,correlations,.tsv,"[('atlas', 'HarvardOxfordcortMaxprobThr25'), ('reg', 'defaultNoGSR')]",/ocean/projects/med250004p/shared/regression_outputs_v1.8.7/default/site-1/sub-A00040524/output/pipeline_cpac-default-pipeline,sub-A00040524/ses-NFB3/func/sub-A00040524_ses-NFB3_task-PEER1_atlas-HarvardOxfordcortMaxprobThr25_space-MNI152NLin6ASym_reg-defaultNoGSR_desc-PearsonNilearn_correlations.tsv
site-1/sub-A00040524/output/pipeline_cpac-default-pipeline,A00040524,NFB3,,MSIT,,,,,,,,,,,,,,,,,,,MNI152NLin6ASym,,,,,,,,PearsonNilearn,output,correlations,.tsv,"[('atlas', 'Slab907'), ('reg', 'default')]",/ocean/projects/med250004p/shared/regression_outputs_v1.8.7/default/site-1/sub-A00040524/output/pipeline_cpac-default-pipeline,sub-A00040524/ses-NFB3/func/sub-A00040524_ses-NFB3_task-MSIT_atlas-Slab907_space-MNI152NLin6ASym_reg-default_desc-PearsonNilearn_correlations.tsv
site-1/sub-A00040524/output/pipeline_cpac-default-pipeline,A00040524,NFB3,,PEER2,,,,,,,,,,,,,,,,,,,,,,,,,,,SpatReg,output,timeseries,.txt,"[('atlas', 'PNAS'), ('reg', 'defaultNoGSR')]",/ocean/projects/med250004p/shared/regression_outputs_v1.8.7/default/site-1/sub-A00040524/output/pipeline_cpac-default-pipeline,sub-A00040524/ses-NFB3/func/sub-A00040524_ses-NFB3_task-PEER2_atlas-PNAS_reg-defaultNoGSR_desc-SpatReg_timeseries.txt
site-1/sub-A00040524/output/pipeline_cpac-default-pipeline,A00040524,NFB3,,PEER1,,,,,,,,,,,,,,,,,,,MNI152NLin6ASym,,,,,,,,Mean,output,timeseries,.1D,"[('atlas', 'CC200'), ('reg', 'defaultNoGSR')]",/ocean/projects/med250004p/shared/regression_outputs_v1.8.7/default/site-1/sub-A00040524/output/pipeline_cpac-default-pipeline,sub-A00040524/ses-NFB3/func/sub-A00040524_ses-NFB3_task-PEER1_atlas-CC200_space-MNI152NLin6ASym_reg-defaultNoGSR_desc-Mean_timeseries.1D
site-1/sub-A00040524/output/pipeline_cpac-default-pipeline,A00040524,NFB3,,PEER1,,,,,,,,,,,,,,,,,,,MNI152NLin6ASym,,,,,,,,Mean,output,timeseries,.1D,"[('atlas', 'ho'), ('reg', 'default')]",/ocean/projects/med250004p/shared/regression_outputs_v1.8.7/default/site-1/sub-A00040524/output/pipeline_cpac-default-pipeline,sub-A00040524/ses-NFB3/func/sub-A00040524_ses-NFB3_task-PEER1_atlas-ho_space-MNI152NLin6ASym_reg-default_desc-Mean_timeseries.1D
site-1/sub-A00040524/output/pipeline_cpac-default-pipeline,A00040524,NFB3,,DMNTRACKINGTRAIN,,,,,,,,,,,,,,,,,,,MNI152NLin6ASym,,,,,,,,Mean,output,timeseries,.1D,"[('atlas', 'Juelich'), ('reg', 'defaultNoGSR')]",/ocean/projects/med250004p/shared/regression_outputs_v1.8.7/default/site-1/sub-A00040524/output/pipeline_cpac-default-pipeline,sub-A00040524/ses-NFB3/func/sub-A00040524_ses-NFB3_task-DMNTRACKINGTRAIN_atlas-Juelich_space-MNI152NLin6ASym_reg-defaultNoGSR_desc-Mean_timeseries.1D
site-1/sub-A00040524/output/pipeline_cpac-default-pipeline,A00040524,NFB3,,MSIT,,,,,,,,,,,,,,,,,,,MNI152NLin6ASym,,,,,,,,PartialNilearn,output,correlations,.tsv,"[('atlas', 'Schaefer20181000Parcels17NetworksOrder'), ('reg', 'defaultNoGSR')]",/ocean/projects/med250004p/shared/regression_outputs_v1.8.7/default/site-1/sub-A00040524/output/pipeline_cpac-default-pipeline,sub-A00040524/ses-NFB3/func/sub-A00040524_ses-NFB3_task-MSIT_atlas-Schaefer20181000Parcels17NetworksOrder_space-MNI152NLin6ASym_reg-defaultNoGSR_desc-PartialNilearn_correlations.tsv
site-1/sub-A00040524/output/pipeline_cpac-default-pipeline,A00040524,NFB3,,MSIT,,,,,,,,,,,,,,,,,,,MNI152NLin6ASym,,,,,,,,PearsonNilearn,output,correlations,.tsv,"[('atlas', 'Glasser'), ('reg', 'default')]",/ocean/projects/med250004p/shared/regression_outputs_v1.8.7/default/site-1/sub-A00040524/output/pipeline_cpac-default-pipeline,sub-A00040524/ses-NFB3/func/sub-A00040524_ses-NFB3_task-MSIT_atlas-Glasser_space-MNI152NLin6ASym_reg-default_desc-PearsonNilearn_correlations.tsv
site-1/sub-A00040524/output/pipeline_cpac-default-pipeline,A00040524,NFB3,,DMNTRACKINGTEST,,,,,,,,,,,,,,,,,,,,,,,,,,,movementParameters,output,motion,.1D,[],/ocean/projects/med250004p/shared/regression_outputs_v1.8.7/default/site-1/sub-A00040524/output/pipeline_cpac-default-pipeline,sub-A00040524/ses-NFB3/func/sub-A00040524_ses-NFB3_task-DMNTRACKINGTEST_desc-movementParameters_motion.1D
site-1/sub-A00040524/output/pipeline_cpac-default-pipeline,A00040524,NFB3,,MORALDILEMMA,,,,,,,,,,,,,,,,,,,MNI152NLin6ASym,,,,,,,,PartialNilearn,output,correlations,.tsv,"[('atlas', 'DKT'), ('reg', 'default')]",/ocean/projects/med250004p/shared/regression_outputs_v1.8.7/default/site-1/sub-A00040524/output/pipeline_cpac-default-pipeline,sub-A00040524/ses-NFB3/func/sub-A00040524_ses-NFB3_task-MORALDILEMMA_atlas-DKT_space-MNI152NLin6ASym_reg-default_desc-PartialNilearn_correlations.tsv
site-1/sub-A00040524/output/pipeline_cpac-default-pipeline,A00040524,NFB3,,PEER2,,,,,,,,,,,,,,,,,,,MNI152NLin6ASym,,,,,,,,PearsonNilearn,output,correlations,.tsv,"[('atlas', 'MICCAI'), ('reg', 'defaultNoGSR')]",/ocean/projects/med250004p/shared/regression_outputs_v1.8.7/default/site-1/sub-A00040524/output/pipeline_cpac-default-pipeline,sub-A00040524/ses-NFB3/func/sub-A00040524_ses-NFB3_task-PEER2_atlas-MICCAI_space-MNI152NLin6ASym_reg-defaultNoGSR_desc-PearsonNilearn_correlations.tsv
site-1/sub-A00040524/output/pipeline_cpac-default-pipeline,A00040524,NFB3,,MSIT,,,,,,,,,,,,,,,,,,,MNI152NLin6ASym,,,,,,,,smZstd,output,dcw,.nii.gz,"[('reg', 'defaultNoGSR')]",/ocean/projects/med250004p/shared/regression_outputs_v1.8.7/default/site-1/sub-A00040524/output/pipeline_cpac-default-pipeline,sub-A00040524/ses-NFB3/func/sub-A00040524_ses-NFB3_task-MSIT_space-MNI152NLin6ASym_reg-defaultNoGSR_desc-smZstd_dcw.nii.gz
site-1/sub-A00040524/output/pipeline_cpac-default-pipeline,A00040524,NFB3,,DMNTRACKINGTRAIN,,,,,,,,,,,,,,,,,,,MNI152NLin6ASym,,,,,,,,smZstd,output,dcw,.nii.gz,"[('reg', 'default')]",/ocean/projects/med250004p/shared/regression_outputs_v1.8.7/default/site-1/sub-A00040524/output/pipeline_cpac-default-pipeline,sub-A00040524/ses-NFB3/func/sub-A00040524_ses-NFB3_task-DMNTRACKINGTRAIN_space-MNI152NLin6ASym_reg-default_desc-smZstd_dcw.nii.gz
site-1/sub-A00040524/output/pipeline_cpac-default-pipeline,A00040524,NFB3,,PEER1,,,,,,,,,,,,,,,,,,,MNI152NLin6ASym,,,,,,,,ndmg,output,correlations,.csv,"[('atlas', 'CC400'), ('reg', 'defaultNoGSR')]",/ocean/projects/med250004p/shared/regression_outputs_v1.8.7/default/site-1/sub-A00040524/output/pipeline_cpac-default-pipeline,sub-A00040524/ses-NFB3/func/sub-A00040524_ses-NFB3_task-PEER1_atlas-CC400_space-MNI152NLin6ASym_reg-defaultNoGSR_desc-ndmg_correlations.csv
site-1/sub-A00040524/output/pipeline_cpac-default-pipeline,A00040524,NFB3,,PEER2,,,,,,,,,,,,,,,,,,,,,,,,,,,boldSnrAxial,output,quality,.png,"[('reg', 'default')]",/ocean/projects/med250004p/shared/regression_outputs_v1.8.7/default/site-1/sub-A00040524/output/pipeline_cpac-default-pipeline,sub-A00040524/ses-NFB3/func/sub-A00040524_ses-NFB3_task-PEER2_reg-default_desc-boldSnrAxial_quality.png
site-1/sub-A00040524/output/pipeline_cpac-default-pipeline,A00040524,NFB3,,MSIT,,,,,,,,,,,,,,,,,,,MNI152NLin6ASym,,,,,,,,PearsonNilearn,output,correlations,.tsv,"[('atlas', 'Schaefer2018200Parcels17NetworksOrder'), ('reg', 'default')]",/ocean/projects/med250004p/shared/regression_outputs_v1.8.7/default/site-1/sub-A00040524/output/pipeline_cpac-default-pipeline,sub-A00040524/ses-NFB3/func/sub-A00040524_ses-NFB3_task-MSIT_atlas-Schaefer2018200Parcels17NetworksOrder_space-MNI152NLin6ASym_reg-default_desc-PearsonNilearn_correlations.tsv
site-1/sub-A00040524/output/pipeline_cpac-default-pipeline,A00040524,NFB3,,MSIT,,,,,,,,,,,,,,,,,,,MNI152NLin6ASym,,,,,,,,Mean,output,timeseries,.1D,"[('atlas', 'MICCAI'), ('reg', 'defaultNoGSR')]",/ocean/projects/med250004p/shared/regression_outputs_v1.8.7/default/site-1/sub-A00040524/output/pipeline_cpac-default-pipeline,sub-A00040524/ses-NFB3/func/sub-A00040524_ses-NFB3_task-MSIT_atlas-MICCAI_space-MNI152NLin6ASym_reg-defaultNoGSR_desc-Mean_timeseries.1D
site-1/sub-A00040524/output/pipeline_cpac-default-pipeline,A00040524,NFB3,,PEER2,,,,,,,,,,,,,,,,,,,MNI152NLin6ASym,,,,,,,,zstd,output,dcb,.nii.gz,"[('reg', 'defaultNoGSR')]",/ocean/projects/med250004p/shared/regression_outputs_v1.8.7/default/site-1/sub-A00040524/output/pipeline_cpac-default-pipeline,sub-A00040524/ses-NFB3/func/sub-A00040524_ses-NFB3_task-PEER2_space-MNI152NLin6ASym_reg-defaultNoGSR_desc-zstd_dcb.nii.gz
site-1/sub-A00040524/output/pipeline_cpac-default-pipeline,A00040524,NFB3,,PEER1,,,,,,,,,,,,,,,,,,,MNI152NLin6ASym,,,,,,,,PearsonNilearn,output,correlations,.tsv,"[('atlas', 'DKT'), ('reg', 'defaultNoGSR')]",/ocean/projects/med250004p/shared/regression_outputs_v1.8.7/default/site-1/sub-A00040524/output/pipeline_cpac-default-pipeline,sub-A00040524/ses-NFB3/func/sub-A00040524_ses-NFB3_task-PEER1_atlas-DKT_space-MNI152NLin6ASym_reg-defaultNoGSR_desc-PearsonNilearn_correlations.tsv
